Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_007297967.1	GH28(62-407)	-	GH28	2
XP_007297969.1	AA16(3-171)	AA16(1)	-	2
XP_007297985.1	GT25(169-308)	-	-	1
XP_007298006.1	CE16(76-253)	-	-	1
XP_007298036.1	PL35(511-696)	PL35(3)	PL35	3
XP_007298040.1	AA9(16-225)	-	AA9	2
XP_007298069.1	GT33(1-460)	GT33(2)	GT33	3
XP_007298072.1	GT8(4-286)	GT8(69)	-	2
XP_007298086.1	GH16(89-365)	GH16(53)	-	2
XP_007298110.1	GH31(292-840)	GH31(35)	GH31+GH31+3.2.1.20	3
XP_007298122.1	GT2_Glycos_transf_2(25-205)	GT2(122)	GT2	3
XP_007298167.1	PL8_4(398-639)	-	PL8_4	2
XP_007298200.1	CE10(152-384)	-	-	1
XP_007298201.1	GT22(51-542)	GT22(6)	GT22	3
XP_007298254.1	GH16(236-584)	GH16(13)	GH16	3
XP_007298269.1	GH55(39-782)	GH55(2)	GH55+3.2.1.58	3
XP_007298310.1	CE1(34-305)	-	-	1
XP_007298352.1	GH79(46-476)	-	GH79	2
XP_007298366.1	GT59(28-420)	GT59(1)	GT59	3
XP_007298413.1	AA3_2(36-584)	AA3(2)	-	2
XP_007298420.1	AA3(32-671)	AA3(2)	-	2
XP_007298424.1	GH51(165-614)	GH51(25)	GH51	3
XP_007298455.1	GH31(302-850)	GH31(35)	GH31+GH31+3.2.1.20	3
XP_007298456.1	GH31(267-814)	GH31(35)	GH31+GH31+3.2.1.20	3
XP_007298464.1	AA1_1(45-358)	AA1(24)	AA1_1	3
XP_007298503.1	GH30_4(31-487)	GH30(34)	CBM13+GH30	3
XP_007298504.1	GH152(26-144)	-	-	1
XP_007298512.1	AA1_2(45-404)	AA1(16)	AA1_2	3
XP_007298597.1	CE10(26-174)	-	-	1
XP_007298617.1	CE8(35-322)	-	CE8	2
XP_007298671.1	GH18(32-403)	-	GH18	2
XP_007298704.1	CE10(42-334)	-	-	1
XP_007298764.1	GT8(116-339)	GT8(34)	GT8	3
XP_007298884.1	GH71(1-379)	-	-	1
XP_007298893.1	GH127(325-550)	-	-	1
XP_007298895.1	GH72(22-339)	GH72(5)+CBM43(20)	CBM43+GH72	3
XP_007298942.1	GH5_5(86-368)	GH5(81)+CBM1(8)	CBM1+GH5_5	3
XP_007298947.1	GH20(179-503)	GH20(74)	GH20	3
XP_007298951.1	GH43_14(24-317)	GH43(96)	GH43_14	3
XP_007298952.1	GT21(61-321)	GT21(13)	GT21	3
XP_007298979.1	GH2(5-802)	GH2(21)	GH2	3
XP_007299092.1	GH79(43-457)	-	GH79	2
XP_007299112.1	GH79(45-467)	-	GH79	2
XP_007299167.1	GH28(50-339)	-	GH28	2
XP_007299171.1	CBM21(241-371)	-	-	1
XP_007299176.1	AA3_2(32-608)	AA3(14)	-	2
XP_007299178.1	CE1(44-192)	CE1(14)+CBM1(11)	CBM1+CE1	3
XP_007299205.1	AA1_1(46-359)	AA1(24)	AA1_1	3
XP_007299208.1	CE10(22-283)	-	-	1
XP_007299244.1	CE10(35-259)	-	-	1
XP_007299248.1	GT20(155-469)	GT20(2)+CBM20(39)	GT20	3
XP_007299249.1	CE12(22-233)	CE12(13)	CE12	3
XP_007299270.1	GH79(56-527)	-	GH79	2
XP_007299281.1	AA1_1(22-332)	AA1(2)	AA1_1	3
XP_007299299.1	GH81(41-688)	GH81(4)+CBM6(13)	GH81	3
XP_007299303.1	PL35(3-81)	-	-	1
XP_007299348.1	GH10(106-410)	GH10(37)+CBM1(2)	CBM1+GH10+3.2.1.8	3
XP_007299352.1	GH18(49-305)	-	GH18	2
XP_007299377.1	GH79(41-503)	-	GH79	2
XP_007299388.1	CE10(11-261)	-	-	1
XP_007299454.1	CE10(34-180)	-	-	1
XP_007299483.1	GT22(8-403)	GT22(9)	GT22	3
XP_007299493.1	GH81(36-696)	GH81(2)	GH81	3
XP_007299524.1	GH18(84-317)	-	GH18	2
XP_007299636.1	GH3(97-310)	GH3(13)+CBM1(30)	GH3	3
XP_007299648.1	AA3_2(13-615)	AA3(3)	AA3_2	3
XP_007299716.1	GH43_33(48-445)	-	GH43_33	2
XP_007299798.1	GH5_9(135-438)	GH5(20)	GH5_9	3
XP_007299800.1	GH35(70-394)	GH35(5)	GH35	3
XP_007299807.1	AA14(23-284)	-	AA14+1.-.-.-	2
XP_007299875.1	GH79(43-515)	-	-	1
XP_007299880.1	GH152(27-171)	-	-	1
XP_007299897.1	CE12(26-238)	CE12(13)	-	2
XP_007299909.1	GH5_50(95-396)	-	GH5_50	2
XP_007299952.1	GH78(389-795)	-	GH78	2
XP_007299983.1	GH76(80-401)	-	-	1
XP_007299984.1	GH76(73-379)	-	-	1
XP_007300000.1	GH43_6(32-326)	-	-	1
XP_007300005.1	AA3_2(32-627)	AA3(20)	AA3_2	3
XP_007300009.1	AA3_2(39-613)	-	AA3_2	2
XP_007300011.1	AA7(101-519)	-	-	1
XP_007300032.1	GH13_5(40-377)	GH13(25)	GH13_5	3
XP_007300060.1	GH1(147-619)	-	GH1	2
XP_007300087.1	AA1_2(62-428)	-	AA1	2
XP_007300095.1	GH18(32-346)	GH18(44)+CBM1(13)+CBM19(1)	CBM5+GH18+3.2.1.14	3
XP_007300110.1	GH37(146-717)	GH37(2)	GH37	3
XP_007300115.1	AA7(133-550)	-	-	1
XP_007300161.1	GH11(45-221)	CE4(45)+GH11(2)+CBM1(4)+CBM2(2)+CBM36(2)+CBM6(17)+CBM60(1)	CBM1+GH11+3.2.1.8	3
XP_007300172.1	CE10(93-244)	-	-	1
XP_007300178.1	GH43_24(49-284)	GH43(103)+CBM13(54)+CBM35(21)	CBM35+GH43_24+3.2.1.145	3
XP_007300182.1	GH17(114-386)	GH17(35)	GH17	3
XP_007300190.1	GH10(95-402)	GH10(37)+CBM1(2)	CBM1+GH10+3.2.1.8	3
XP_007300260.1	GT22(20-258)	-	-	1
XP_007300291.1	GH18(36-346)	GH18(44)+CBM1(13)+CBM19(1)	GH18	3
XP_007300310.1	AA9(13-232)	-	-	1
XP_007300322.1	AA9(11-230)	-	-	1
XP_007300340.1	GH5_5(94-376)	GH5(14)+CBM1(5)	CBM1+GH5_5+3.2.1.4	3
XP_007300341.1	GH10(2-211)	GH10(37)+CBM1(2)	CBM1+GH10+3.2.1.8	3
XP_007300374.1	GT58(30-387)	GT58(1)	GT58	3
XP_007300410.1	GH88(76-412)	GH88(3)	GH88	3
XP_007300481.1	GH18(21-212)	GH18(44)+CBM1(13)	-	2
