Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_007706260.1	GH32(49-404)	-	GH32	2
XP_007706317.1	GH131(39-307)	-	-	1
XP_007706343.1	GH12(88-234)	GH12(6)	GH12+3.2.1.73	3
XP_007706354.1	GH72(15-326)+CBM43(379-461)	GH72(2)+CBM43(12)	CBM43+GH72	3
XP_007706399.1	GH47(193-938)	GH47(2)	GH47	3
XP_007706430.1	GT48(853-1633)	GT48(1)	GT48	3
XP_007706433.1	AA9(7-221)	AA9(15)	AA9	3
XP_007706464.1	GH55(37-778)	GH0(23)+GH55(2)	GH55	3
XP_007706482.1	GH95(23-796)	GH95(19)	GH95	3
XP_007706490.1	GH11(43-212)	GH11(15)	GH11+3.2.1.8	3
XP_007706495.1	GH12(98-242)	GH12(8)+CBM1(36)	GH12+2.4.1.207	3
XP_007706513.1	AA1_3(75-373)	AA1(5)	AA1_3	3
XP_007706560.1	AA3_2(4-550)	-	AA3_2	2
XP_007706572.1	AA1_2(42-377)	AA1(19)	AA1_2	3
XP_007706606.1	AA3_1(224-735)	-	AA3_1	2
XP_007706609.1	AA3_1(19-551)	AA3(18)	AA3_1	3
XP_007706631.1	GH125(72-498)	GH125(2)	GH125	3
XP_007706633.1	AA9(3-225)	AA9(6)+CBM1(12)	AA9	3
XP_007706706.1	GH16(82-403)	GH16(37)	GH16	3
XP_007706730.1	GH76(25-329)	-	GH76	2
XP_007706747.1	GH3(180-396)	GH3(13)	GH3	3
XP_007706766.1	GH131(1-139)+GH131(179-284)	-	-	1
XP_007706825.1	AA4(80-317)	-	-	1
XP_007706842.1	AA5_1(299-813)	AA5(7)+CBM18(15)	AA5+CBM18	3
XP_007706858.1	GT34(88-322)	-	-	1
XP_007706868.1	AA7(191-629)	-	-	1
XP_007706876.1	AA11(20-201)	AA11(1)	AA11	3
XP_007706884.1	GT50(136-415)	GT50(1)	GT50	3
XP_007706890.1	GH105(49-375)	GH105(1)	GH105	3
XP_007706892.1	CE10(666-1032)	-	-	1
XP_007706955.1	GT2_Glyco_tranf_2_3(210-430)	-	GT2	2
XP_007706956.1	GH16(51-337)	GH16(53)	GH16+3.2.1.6	3
XP_007706959.1	CE10(78-250)	-	-	1
XP_007706974.1	CE5(29-197)	CE5(13)	-	2
XP_007706994.1	GH7(20-452)	GH7(1)+CBM1(1)	GH7	3
XP_007706998.1	GH43_24(45-276)+CBM35(326-441)	GH43(103)+CBM35(21)	CBM35+GH43_24	3
XP_007707014.1	GH31(207-660)	GH31(4)	GH31	3
XP_007707021.1	GT2_Glyco_trans_2_3(218-456)	-	GT2	2
XP_007707043.1	GH13_40(31-393)	GH13(29)	GH13_40	3
XP_007707069.1	GH72(6-156)	-	-	1
XP_007707108.1	GH10(30-345)	GH10(4)+CBM1(2)+CBM9(7)	GH10	3
XP_007707132.1	AA3_2(60-634)	AA3(7)	AA3_2	3
XP_007707146.1	GH55(54-834)	GH55(2)	GH55	3
XP_007707148.1	GH13_8(244-537)	GH13(94)+CBM48(20)	CBM48+GH13_8	3
XP_007707184.1	GH10(29-343)	GH10(4)+CBM1(2)+CBM2(23)+CBM22(2)	GH10	3
XP_007707219.1	CE4(144-274)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_007707225.1	AA9(6-214)	-	AA9	2
XP_007707227.1	GH85(97-413)	-	GH85	2
XP_007707240.1	AA2(72-298)	AA2(4)	AA2	3
XP_007707283.1	AA7(91-301)	-	-	1
XP_007707288.1	GH76(28-400)	-	-	1
XP_007707302.1	GH43_36(36-312)	GH43(119)	GH43_36	3
XP_007707347.1	GT69(132-395)	GT69(3)	GT69	3
XP_007707391.1	CE10(36-207)	-	-	1
XP_007707404.1	GT32(107-192)	GT32(25)	GT32	3
XP_007707406.1	GT8(48-269)	-	GT8	2
XP_007707425.1	CE5(36-250)	-	CE5	2
XP_007707436.1	GH30_7(36-481)	GH30(13)	GH30_7	3
XP_007707455.1	GH16(169-369)	-	GH16	2
XP_007707466.1	GH72(24-342)	GH72(2)+CBM43(12)	CBM43+GH72	3
XP_007707488.1	AA3_2(30-597)	AA3(2)	AA3_2	3
XP_007707494.1	GT58(22-382)	GT58(2)	GT58	3
XP_007707501.1	GT2_Glyco_trans_2_3(529-747)	GT0(19)	GT0	3
XP_007707509.1	PL4_1(18-535)	PL4(4)	PL4_1	3
XP_007707517.1	CE3(24-218)	-	-	1
XP_007707578.1	GH78(398-811)	GH78(35)	GH78	3
XP_007707584.1	CBM63(297-366)	CBM63(4)	CBM63	3
XP_007707589.1	GT8(91-311)	-	GT8	2
XP_007707617.1	GH131(19-255)	GH131(1)+CBM1(21)	GH131	3
XP_007707618.1	GH18(33-381)	-	GH18	2
XP_007707632.1	GT22(5-397)	GT22(3)	GT22	3
XP_007707674.1	GT20(133-660)	GT20(4)	GT20	3
XP_007707683.1	PL4_5(44-563)	PL4(8)	PL4_5	3
XP_007707721.1	GH64(62-432)	GH64(5)+CBM6(29)	GH64	3
XP_007707737.1	AA9(9-208)	AA9(4)+CBM1(15)	AA9	3
XP_007707742.1	AA9(7-232)	AA9(6)	AA9	3
XP_007707769.1	CE12(32-225)	CE12(14)	-	2
XP_007707786.1	AA3(12-537)	AA3(9)	AA3_2	3
XP_007707801.1	GH16(53-245)	GH16(14)	GH16	3
XP_007707815.1	AA3_2(24-639)	AA3(6)	AA3	3
XP_007707859.1	GT2_Glycos_transf_2(11-181)	GT2(122)	GT2	3
XP_007707897.1	GH11(51-226)	CE4(45)+GH11(2)+CBM1(4)+CBM10(5)+CBM6(17)+CBM60(1)	GH11+3.2.1.8	3
XP_007707903.1	GT4(213-350)	GT4(169)	GT4	3
XP_007707913.1	GH142(79-348)	GH142(3)	GH142	3
XP_007707916.1	GH76(30-396)	GH76(10)	GH76	3
XP_007707938.1	GH18(72-416)	-	CBM18+GH18	2
XP_007707962.1	AA7(29-210)	-	-	1
XP_007707986.1	AA11(63-193)	-	-	1
XP_007707991.1	GH31(91-579)	-	GH31	2
XP_007708041.1	AA7(55-489)	AA7(3)	AA7	3
XP_007708085.1	AA1_3(64-379)	AA1(5)	AA1_3	3
XP_007708090.1	PL3_2(44-229)	PL3(9)+CBM13(31)	PL3_2	3
XP_007708093.1	GH62(26-295)	GH62(1)+CBM1(23)+CBM13(3)	GH62+3.2.1.55	3
XP_007708096.1	AA1_2(109-479)	AA1(8)	AA1	3
XP_007708135.1	GH47(1-432)	-	-	1
XP_007708164.1	GT76(17-459)	-	GT76	2
XP_007708167.1	CE16(35-318)	CE16(3)+CBM1(44)	CE16	3
XP_007708207.1	CE4(44-149)	-	-	1
XP_007708279.1	GT39(412-656)	GT39(2)	GT39	3
XP_007708321.1	GH81(139-821)	GH81(1)	GH81	3
XP_007708376.1	GH128(51-275)	GH128(4)	-	2
XP_007708399.1	GT22(25-461)	GT22(6)	GT22	3
XP_007708403.1	AA3_3(5-640)	AA3(4)	AA3_3+1.1.3.13	3
XP_007708409.1	CE5(30-233)	-	-	1
XP_007708443.1	AA2(81-179)+AA2(473-737)	-	-	1
XP_007708454.1	GH16(82-239)	GH16(22)	GH16	3
XP_007708476.1	GH47(99-589)	GH47(2)	GH47	3
XP_007708479.1	GT57(15-466)	GT57(2)	GT57	3
XP_007708489.1	AA3_2(12-604)	-	AA3_2	2
XP_007708490.1	GT34(103-300)	-	-	1
XP_007708491.1	GH17(329-595)	GH17(22)	GH17	3
XP_007708502.1	GH20(217-562)	GH20(33)	GH20	3
XP_007708579.1	GH55(40-783)	GH0(23)+GH55(2)	GH55+3.2.1.58	3
XP_007708587.1	GH65(383-748)	GH65(13)+CBM32(118)	GH65	3
XP_007708593.1	AA7(55-487)	AA7(2)	AA7+CBM1	3
XP_007708602.1	GT69(129-370)	GT69(4)	GT69	3
XP_007708612.1	GH3(88-302)	GH3(113)+CBM1(30)	GH3	3
XP_007708615.1	GH3(78-302)	-	GH3	2
XP_007708620.1	CE10(93-250)	-	-	1
XP_007708631.1	CE9(23-408)	CE9(25)	CE9	3
XP_007708656.1	AA7(98-514)	-	-	1
XP_007708658.1	CE4(146-277)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_007708725.1	GT21(65-392)	GT21(11)	GT21	3
XP_007708741.1	GH1(115-576)	-	GH1	2
XP_007708756.1	GH35(19-200)	GH35(14)	GH35	3
XP_007708760.1	GT3(15-651)	GT3(1)	GT3	3
XP_007708763.1	GT71(142-376)	GT71(7)	GT71	3
XP_007708768.1	CE16(40-331)	CE0(16)	-	2
XP_007708804.1	GH47(182-674)	GH47(1)	GH47	3
XP_007708813.1	GH13_25(1089-1540)	GH133(2)	GH13_25+GH133	3
XP_007708814.1	GH3(32-244)	GH3(8)	GH3	3
XP_007708868.1	GT20(166-629)	GT20(6)	GT20	3
XP_007708893.1	AA2(70-212)	-	-	1
XP_007708912.1	GH154(14-374)	GH154(12)	GH154	3
XP_007708913.1	GT2_Chitin_synth_1(213-381)+GT2_Chitin_synth_2(358-593)	GT2(9)	GT2	3
XP_007708974.1	AA7(75-317)	-	-	1
XP_007708993.1	GH18(30-361)	-	GH18	2
XP_007709002.1	GH3(95-308)	GH3(40)	GH3	3
XP_007709014.1	GH17(107-347)	-	GH17	2
XP_007709035.1	AA3_2(38-586)	AA3(3)	AA3_2	3
XP_007709082.1	GT34(75-264)	-	GT34	2
XP_007709156.1	GH47(78-566)	GH47(2)	GH47	3
XP_007709157.1	AA9(7-222)	AA9(9)	-	2
XP_007709159.1	CBM35(23-138)+GH26(153-454)	GH26(3)+CBM10(3)+CBM3(7)+CBM35(3)	CBM35+GH26	3
XP_007709174.1	GH47(128-637)	GH47(2)	GH47	3
XP_007709179.1	CE16(32-339)	CE16(2)	CE16	3
XP_007709188.1	GH13_1(59-347)+CBM20(490-580)	CBM20(32)	CBM20+GH13_1	3
XP_007709189.1	AA13(19-248)+CBM20(297-387)	AA13(1)+CBM20(12)	AA13+CBM20	3
XP_007709197.1	GH43_6(80-378)	-	-	1
XP_007709215.1	GH31(257-698)	GH31(1)	GH31	3
XP_007709242.1	AA3_2(32-600)	AA3(8)	AA3_2	3
XP_007709257.1	GH51(13-504)	GH51(7)	GH51	3
XP_007709280.1	CE4(45-149)	-	-	1
XP_007709295.1	GH3(71-279)	GH3(13)+CBM1(30)	GH3	3
XP_007709337.1	GT20(15-481)	GT20(2)+CBM20(39)	GT20	3
XP_007709350.1	PL1_7(74-254)	PL1(16)	PL1_7	3
XP_007709369.1	AA7(125-325)	AA7(2)+CBM18(20)	AA7+CBM18	3
XP_007709383.1	GH17(54-293)	GH17(19)	GH17	3
XP_007709443.1	GH2(63-524)	GH2(52)+CBM42(2)+CBM67(18)	GH2	3
XP_007709472.1	GH72(17-294)	GH72(4)	GH72	3
XP_007709497.1	AA9(6-216)	-	-	1
XP_007709507.1	GH37(141-700)	GH37(2)	GH37	3
XP_007709514.1	AA7(93-521)	-	-	1
XP_007709556.1	CE4(146-273)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_007709564.1	GT2_Chitin_synth_1(344-506)+GT2_Chitin_synth_2(483-710)	GT2(9)	GT2	3
XP_007709586.1	CE1(43-225)	CE1(14)	CE1	3
XP_007709605.1	GH76(114-533)	GH0(68)	GH0	3
XP_007709655.1	GH47(56-575)	GH47(3)	GH47	3
XP_007709665.1	GH43_14(8-308)	GH43(96)	GH43_14	3
XP_007709669.1	GH16(71-312)	GH16(53)	GH16	3
XP_007709673.1	GT22(13-255)	GT22(1)	GT22	3
XP_007709678.1	GH128(43-260)	-	GH128	2
XP_007709703.1	GT8(19-281)	GT8(69)	GT8	3
XP_007709734.1	GT57(69-300)+GT57(336-566)	GT57(1)	GT57	3
XP_007709748.1	GH109(8-122)	-	-	1
XP_007709756.1	GH15(72-516)	GH15(14)+CBM20(5)	GH15	3
XP_007709768.1	GH3(120-349)	GH3(41)	GH3	3
XP_007709782.1	AA9(8-211)	AA9(20)	AA9+CBM1	3
XP_007709798.1	GT34(82-312)	GT34(5)	GT34	3
XP_007709803.1	CE5(26-225)	CE5(10)+CBM1(28)	CE5	3
XP_007709808.1	CE5(41-214)	CE5(27)	CE5	3
XP_007709811.1	GH11(41-217)	GH11(2)+CBM1(4)+CBM6(17)+CBM60(1)	GH11+3.2.1.8	3
XP_007709845.1	AA7(59-267)	-	-	1
XP_007709851.1	GH5_5(42-321)	GH5(14)+CBM1(5)	GH5_5	3
XP_007709865.1	CE8(43-309)	-	CE8	2
XP_007709875.1	AA5(375-881)	AA5(5)	AA5_1	3
XP_007709884.1	GH94(44-784)	GH94(5)	GH94+2.4.1.321	3
XP_007709898.1	GT33(77-485)	GT33(2)	GT33	3
XP_007709906.1	CE10(135-371)	-	-	1
XP_007709966.1	GH28(47-370)	GH28(3)	GH28	3
XP_007709970.1	CE10(214-370)	-	-	1
XP_007709978.1	PL1_2(67-245)	PL1(17)	PL1_2	3
XP_007709979.1	CE8(42-308)	CE8(20)	CE8+3.1.1.11	3
XP_007709988.1	GT90(376-646)	-	GT90	2
XP_007710012.1	AA3_3(12-602)	AA3(14)	AA3_3	3
XP_007710016.1	GH3(102-324)	GH3(13)+CBM1(30)	GH3	3
XP_007710053.1	CE4(240-390)	-	-	1
XP_007710150.1	GT8(16-283)	GT8(69)	GT8	3
XP_007710191.1	AA7(190-377)	-	-	1
XP_007710194.1	AA7(53-294)	-	-	1
XP_007710204.1	GH16(109-285)	-	GH16	2
XP_007710234.1	AA3_2(38-671)	AA3(6)	AA3	3
XP_007710270.1	AA9(10-223)	AA9(7)+CBM1(25)	AA9+CBM1	3
XP_007710291.1	GH2(20-683)	GH2(47)	GH2	3
XP_007710298.1	CE10(50-312)	-	-	1
XP_007710299.1	AA9(8-225)	AA9(8)+CBM18(16)	AA9	3
XP_007710320.1	GH78(79-620)	GH78(13)	GH78	3
XP_007710419.1	GH20(184-553)	GH20(17)	GH20	3
XP_007710428.1	GT90(156-394)	-	-	1
XP_007710430.1	GH12(90-237)	GH12(6)	GH12+3.2.1.73	3
XP_007710431.1	GT8(60-305)	GT8(87)	GT8	3
XP_007710450.1	GH47(134-616)	GH47(2)	GH47	3
XP_007710456.1	AA9(5-217)	AA9(12)	-	2
XP_007710571.1	CE10(155-420)	-	-	1
XP_007710626.1	GT2_Chitin_synth_2(1201-1707)	GT2(161)	GT2	3
XP_007710627.1	GT2_Chitin_synth_2(1046-1554)	GT2(161)	GT2	3
XP_007710672.1	GT2_Chitin_synth_2(272-564)	-	GT2	2
XP_007710734.1	GH154(25-372)	GH154(10)	GH154	3
XP_007710739.1	AA8(9-809)	AA3(5)+AA8(1)+CBM1(10)	AA3_1+AA8	3
XP_007710742.1	GH30_5(26-473)	GH30(12)	GH30_5	3
XP_007710789.1	CE1(53-251)	-	-	1
XP_007710792.1	GH145(40-336)	-	GH145	2
XP_007710799.1	GT8(156-383)	-	-	1
XP_007710801.1	GH92(372-900)	GH92(28)	GH92	3
XP_007710805.1	GH43_22(160-377)+GH43_34(449-731)	GH43(33)	GH43_22+GH43_34	3
XP_007710807.1	GT15(82-360)	GT15(1)	GT15	3
XP_007710813.1	GH31(385-831)	GH31(7)	GH31	3
XP_007710851.1	GH92(270-780)	GH92(9)	GH92	3
XP_007710865.1	GH72(23-324)	GH72(3)	GH72	3
XP_007710877.1	PL4_3(18-643)	PL4(6)	PL4_3	3
XP_007710898.1	CE3(46-242)	-	-	1
XP_007710909.1	AA7(67-500)	-	-	1
XP_007710937.1	AA3_2(19-618)	AA3(2)	AA3_2	3
XP_007710972.1	CE1(23-283)	-	-	1
XP_007711002.1	CE10(96-262)	-	-	1
XP_007711025.1	GH131(31-282)	GH131(2)	GH131	3
XP_007711028.1	CE4(556-670)	-	-	1
XP_007711053.1	GH72(21-332)	GH72(1)+CBM43(1)	GH72	3
XP_007711063.1	GH7(20-452)	GH7(1)+CBM1(1)	GH7+3.2.1.176	3
XP_007711071.1	GT15(92-362)	GT15(1)	GT15	3
XP_007711098.1	GH71(1-344)	-	-	1
XP_007711102.1	GT62(94-357)	GT62(1)	GT62	3
XP_007711115.1	GH114(79-274)	GH114(3)	GH114	3
XP_007711133.1	GH1(4-474)	GH1(55)	GH1	3
XP_007711161.1	AA3_2(35-623)	-	AA3_2+CBM1	2
XP_007711163.1	GT2_Glyco_tranf_2_3(91-321)	-	GT2	2
XP_007711209.1	CE10(66-412)	-	-	1
XP_007711243.1	GH115(20-602)	GH115(1)	GH115	3
XP_007711281.1	GH5_5(31-326)	GH5(81)+CBM1(8)	CBM1+GH5_5	3
XP_007711305.1	AA3_2(38-617)	-	AA3_2	2
XP_007711327.1	GH81(73-773)	GH81(1)	GH81	3
XP_007711424.1	CE10(103-263)	-	-	1
XP_007711440.1	GH105(108-321)	-	-	1
XP_007711481.1	GH31(260-791)	GH31(56)	GH31	3
XP_007711484.1	GH18(144-487)	GH18(45)+CBM18(6)	CBM18+GH18	3
XP_007711561.1	CE10(454-691)	-	-	1
XP_007711567.1	AA3_2(28-612)	AA3(3)	AA3_2	3
XP_007711571.1	GH5_9(91-384)	GH5(5)	GH5_9	3
XP_007711574.1	CE8(46-344)	CE8(24)	CE8	3
XP_007711576.1	GH16(121-275)	GH16(23)+CBM18(8)	CBM18+GH16	3
XP_007711620.1	CE10(97-269)	-	-	1
XP_007711628.1	GH10(93-390)	GH10(4)+CBM1(2)+CBM2(2)	CBM1+GH10	3
XP_007711634.1	CE4(44-167)	CE4(143)+CBM18(7)	CE4	3
XP_007711655.1	AA9(6-230)	AA9(3)+CBM1(40)	AA9+CBM1	3
XP_007711657.1	GT1(370-679)	GT1(76)	GT1	3
XP_007711660.1	GH32(43-394)	-	GH32	2
XP_007711663.1	GH18(230-575)	GH18(45)+CBM18(6)	CBM18+GH18	3
XP_007711694.1	AA7(135-570)	-	-	1
XP_007711824.1	CE1(46-235)	-	-	1
XP_007711891.1	AA3_2(4-566)	-	AA3_2	2
XP_007711895.1	AA7(197-631)	-	-	1
XP_007711898.1	GH13_40(42-402)	GH13(3)	GH13_40	3
XP_007711925.1	AA7(64-490)	-	-	1
XP_007711940.1	GH3(91-310)	GH3(13)+CBM1(30)	GH3	3
XP_007711943.1	GH18(44-413)	-	GH18	2
XP_007711944.1	GH36(30-720)	GH36(30)	GH36	3
XP_007711968.1	GH1(161-622)	-	GH1	2
XP_007711973.1	GH53(23-357)	GH53(7)	GH53	3
XP_007711986.1	GH28(41-363)	GH28(3)	GH28+3.2.1.15	3
XP_007711990.1	GH43_1(9-313)	-	GH43_1+3.2.1.37	2
XP_007711993.1	CE1(324-544)	-	-	1
XP_007712019.1	GH18(597-947)	GH18(102)+CBM18(5)	CBM18+CBM50+GH18	3
XP_007712044.1	GT22(35-487)	GT22(5)	GT22	3
XP_007712050.1	GT62(99-364)	GT62(6)	GT62	3
XP_007712057.1	GT32(72-154)	GT32(54)	GT32	3
XP_007712078.1	GH92(264-772)	GH92(9)	GH92	3
XP_007712111.1	AA7(45-490)	-	-	1
XP_007712115.1	CE10(78-222)	-	-	1
XP_007712127.1	AA1_3(71-376)	AA1(5)	AA1_3+1.10.3.2	3
XP_007712205.1	CE1(34-216)	CE1(9)+CBM2(17)	CE1	3
XP_007712214.1	GT2_Glyco_tranf_2_3(54-287)	-	GT2	2
XP_007712230.1	CE3(37-232)	-	-	1
XP_007712271.1	GH35(51-382)	GH35(5)	GH35	3
XP_007712311.1	GH10(35-329)	GH10(4)+CBM1(2)	GH10	3
XP_007712317.1	GH2(86-756)	GH2(70)	GH2	3
XP_007712320.1	AA9(7-219)	AA9(3)	-	2
XP_007712347.1	GH95(20-770)	GH95(1)+CBM13(55)+CBM51(9)	GH95	3
XP_007712348.1	GH27(50-328)	GH27(1)+CBM35(43)+CBM51(1)	GH27	3
XP_007712350.1	GH51(207-665)	GH51(5)	GH51	3
XP_007712381.1	GH128(246-462)	-	GH128	2
XP_007712402.1	GH5_7(75-431)	-	GH5_7	2
XP_007712429.1	CE5(53-229)	CE5(27)	-	2
XP_007712434.1	GH132(179-475)	GH132(3)	GH132	3
XP_007712439.1	GT62(69-332)	GT62(2)	GT62	3
XP_007712440.1	GH72(27-325)	GH72(3)	GH72	3
XP_007712446.1	CE5(61-224)	-	-	1
XP_007712464.1	GT15(116-426)	GT15(3)	GT15	3
XP_007712538.1	GH18(8-361)	GH18(20)+CBM14(26)	GH18	3
XP_007712553.1	GH43_11(4-297)	GH43(2)	GH43_11	3
XP_007712572.1	CE10(118-352)	-	-	1
XP_007712615.1	GH76(33-418)	GH76(6)	GH76	3
XP_007712662.1	GH135(3-252)	GH135(7)	GH135	3
XP_007712704.1	GH18(56-406)	GH18(45)+CBM12(11)+CBM18(6)	CBM18+GH18	3
