Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_002540653.1	AA11(18-207)	AA11(1)	-	2
XP_002540690.1	GH18(10-219)	GH18(20)	-	2
XP_002540734.1	GT62(75-263)	-	GT62	2
XP_002540773.1	GH72(29-327)	GH72(3)	GH72+2.4.1.-	3
XP_002540822.1	GH16(19-237)	-	-	1
XP_002540867.1	GT62(187-450)	GT62(1)	GT62	3
XP_002540890.1	CE4(204-321)	-	-	1
XP_002540895.1	AA5_1(58-506)	AA5(7)+CBM18(15)	AA5+CBM18	3
XP_002540901.1	GH18(29-332)	GH18(44)+CBM1(13)+CBM19(1)	GH18+3.2.1.14	3
XP_002540933.1	AA4(6-246)	-	-	1
XP_002540971.1	GT39(66-186)	GT39(2)	GT39+2.4.1.109	3
XP_002541038.1	CE5(29-208)	-	-	1
XP_002541108.1	GT22(96-364)	GT22(9)	GT22	3
XP_002541195.1	GT15(104-374)	GT15(1)	GT15	3
XP_002541235.1	GT69(148-416)	GT69(3)	GT69	3
XP_002541528.1	GH16(79-219)	GH16(22)	GH16	3
XP_002541531.1	GH20(206-558)	GH20(33)	GH20	3
XP_002541539.1	GH128(53-256)	GH128(15)	-	2
XP_002541578.1	GH18(518-871)	GH18(102)+CBM18(5)	CBM18+CBM50+GH18	3
XP_002541585.1	CE10(185-350)	-	-	1
XP_002541627.1	GH5_9(510-835)	GH5(20)	GH5_9	3
XP_002541775.1	GH3(98-311)	GH3(13)+CBM1(30)	GH3+3.2.1.21	3
XP_002541789.1	CE10(182-398)	-	-	1
XP_002541810.1	AA7(2-218)	-	-	1
XP_002541844.1	GT34(25-286)	GT34(7)	GT34	3
XP_002541902.1	GT57(73-572)	GT57(1)	GT57	3
XP_002541914.1	CE4(69-197)	-	-	1
XP_002541973.1	CE10(140-362)	-	-	1
XP_002541996.1	GT66(23-649)	GT66(1)	GT66	3
XP_002542001.1	GT39(54-299)	GT39(2)	GT39	3
XP_002542102.1	AA3_4(141-351)	AA3(12)	AA3_4	3
XP_002542123.1	GH3(68-293)	-	GH3	2
XP_002542127.1	AA3(14-538)	AA3(9)	AA3_2	3
XP_002542129.1	CE9(16-404)	CE9(25)	CE9	3
XP_002542154.1	GT71(139-377)	GT71(7)	GT71	3
XP_002542235.1	GH76(167-534)	GH0(68)	GH0	3
XP_002542237.1	GH13_1(57-363)	CBM20(12)	GH13_1	3
XP_002542251.1	GH16(97-275)	GH16(23)+CBM18(8)	CBM18+GH16	3
XP_002542370.1	CE1(25-284)	-	-	1
XP_002542425.1	GT4(345-521)	GT4(109)	GT4	3
XP_002542511.1	GT90(312-576)	GT90(4)	GT90	3
XP_002542513.1	GT8(6-219)	GT8(34)	GT8	3
XP_002542539.1	GH18(90-240)	GH18(72)+CBM12(6)+CBM18(6)+CBM5(14)	GH18	3
XP_002542559.1	GH3(81-302)	GH3(13)+CBM1(30)	GH3+3.2.1.21+3.2.1.58	3
XP_002542585.1	GH47(134-650)	GH47(3)	GH47	3
XP_002542617.1	GH16(69-279)	-	-	1
XP_002542646.1	AA5(384-888)	AA5(5)	AA5_1	3
XP_002542647.1	GH16(106-439)	GH16(37)+CBM6(15)	GH16	3
XP_002542648.1	GT2_Glyco_trans_2_3(405-607)	GT0(19)	GT0	3
XP_002542649.1	AA2(65-210)	AA0(2)	AA0	3
XP_002542728.1	AA3_2(15-598)	AA3(3)	-	2
XP_002542738.1	GT22(47-263)+GT22(282-460)	GT22(5)	GT22	3
XP_002542769.1	AA1_3(130-392)	AA1(32)	AA1_3	3
XP_002542778.1	CE10(1792-2146)	-	-	1
XP_002542785.1	CE10(345-601)	-	-	1
XP_002542940.1	GH13_22(1484-1691)+GH13_22(2346-2808)	GT5(22)	GH13_22+GT5+2.4.1.183+2.4.1.183	3
XP_002542942.1	AA2(105-372)	-	-	1
XP_002542969.1	GH2(29-638)	GH2(70)	GH2	3
XP_002543027.1	GH65(409-773)	GH65(13)+CBM32(118)	GH65+3.2.1.28	3
XP_002543131.1	GT2_Chitin_synth_1(471-633)+GT2_Chitin_synth_2(611-846)	GT2(9)	GT2	3
XP_002543186.1	GH17(302-536)	GH17(29)	GH17	3
XP_002543192.1	GT2_Chitin_synth_2(651-1174)	GT2(161)	GT2	3
XP_002543276.1	GH76(38-404)	GH76(10)	GH76	3
XP_002543306.1	GH13_5(5-317)	GH13(23)	GH13_5	3
XP_002543373.1	GT1(286-492)	GT1(76)	GT1	3
XP_002543376.1	GH92(51-558)	GH92(14)	GH92	3
XP_002543430.1	AA3_1(17-475)	-	AA3_1	2
XP_002543437.1	GT4(212-352)	GT4(169)	GT4	3
XP_002543498.1	AA2(10-271)	-	-	1
XP_002543514.1	GT32(76-155)	GT32(3)	GT32	3
XP_002543526.1	GH18(17-367)	GH18(20)+CBM12(6)+CBM16(5)+CBM5(14)	GH18+3.2.1.14	3
XP_002543559.1	GT71(174-409)	GT71(5)	GT71	3
XP_002543583.1	AA7(3-185)	-	-	1
XP_002543663.1	GT39(75-313)	GT39(3)	GT39	3
XP_002543707.1	AA11(30-205)	AA11(2)	-	2
XP_002543772.1	GT71(128-266)	GT71(7)	GT71	3
XP_002543791.1	GH43_6(41-323)	-	GH43_6	2
XP_002543826.1	GT69(137-409)	GT69(3)	GT69	3
XP_002543997.1	AA3_2(5-288)	-	-	1
XP_002544023.1	GH63(493-704)	GH63(2)	GH63	3
XP_002544064.1	GH92(255-765)	GH92(9)	GH92	3
XP_002544076.1	GH3(166-378)	GH3(13)+CBM1(30)	GH3	3
XP_002544088.1	CE10(143-269)	-	-	1
XP_002544103.1	GT2_Chitin_synth_2(262-555)	-	GT2	2
XP_002544173.1	GT32(109-187)	GT32(5)	GT32	3
XP_002544196.1	GH17(442-707)	GH17(22)	GH17	3
XP_002544289.1	GH71(50-430)	GH71(1)	GH71	3
XP_002544316.1	GT21(98-385)	GT21(11)	GT21	3
XP_002544331.1	GH18(18-236)	-	GH18	2
XP_002544338.1	AA12(24-420)	AA12(1)	AA12	3
XP_002544358.1	GH16(71-317)	-	GH16	2
XP_002544360.1	GH31(367-814)	GH31(7)	GH18+GH31	3
XP_002544405.1	AA11(22-230)	AA11(3)	-	2
XP_002544415.1	AA7(12-216)	-	-	1
XP_002544429.1	GT15(76-354)	GT15(1)	GT15	3
XP_002544445.1	GT3(55-673)	GT3(1)	GT3	3
XP_002544454.1	CE10(16-256)	-	-	1
XP_002544579.1	GT4(484-651)	-	GT4	2
XP_002544591.1	AA7(125-566)	-	-	1
XP_002544593.1	GH13_8(106-399)	GH13(94)+CBM48(20)	CBM48+GH13_8	3
XP_002544596.1	CBM66(362-516)	-	-	1
XP_002544597.1	GH18(536-891)	GH18(102)+CBM18(5)	CBM18+CBM50+GH18	3
XP_002544668.1	GT22(5-416)	GT22(3)	GT22	3
XP_002544845.1	CE10(43-351)	-	-	1
XP_002544873.1	GT2_Glycos_transf_2(100-298)	-	GT2	2
XP_002544918.1	GT35(145-862)	GT35(1)	GT35	3
XP_002544940.1	CE10(137-330)	-	-	1
XP_002544961.1	CE10(77-365)	-	-	1
XP_002544967.1	GH20(165-500)	GH20(74)	GH20	3
XP_002545133.1	CE4(141-272)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_002545146.1	GT4(254-426)	GT4(145)	GT4	3
XP_002545171.1	GH75(28-215)	-	-	1
XP_002545200.1	GH72(8-257)	GH72(1)+CBM43(1)	GH72	3
XP_002582216.1	GT2_Glyco_tranf_2_3(47-287)	-	-	1
XP_002582264.1	GH55(39-367)+GH55(473-877)	GH55(2)	GH55	3
XP_002582295.1	GT20(11-461)	GT20(2)	GT20	3
XP_002582356.1	AA7(31-239)	-	-	1
XP_002582370.1	GH47(41-371)	GH47(2)	GH47	3
XP_002582410.1	GH18(154-498)	GH18(45)+CBM18(6)	CBM18+GH18	3
XP_002582428.1	GH132(78-341)	GH132(2)	GH132	3
XP_002582436.1	GT22(58-267)+GT22(272-418)	GT22(6)	GT22	3
XP_002582512.1	GH72(24-309)	GH72(4)	GH72	3
XP_002582598.1	GT2_Glycos_transf_2(8-182)	GT2(122)	GT2	3
XP_002582658.1	CE10(130-422)	-	-	1
XP_002582796.1	GT2_Glyco_tranf_2_3(42-282)	-	GT2	2
XP_002582804.1	AA7(102-300)	-	-	1
XP_002582807.1	GH2(11-735)	GH2(21)	GH2	3
XP_002582826.1	GH5_12(15-544)	GH5(76)	GH5_12	3
XP_002582902.1	GT90(108-343)	-	-	1
XP_002582911.1	GH38(283-543)	GH38(5)	GH38	3
XP_002582951.1	GH3(70-292)	GH3(11)	GH3	3
XP_002583006.1	GT34(14-122)	-	-	1
XP_002583007.1	GT20(178-626)	GT20(6)	GT20	3
XP_002583095.1	GH47(109-462)	GH47(1)	GH47	3
XP_002583109.1	CBM21(128-229)	-	-	1
XP_002583115.1	GH18(28-250)	GH18(92)+CBM1(13)+CBM19(1)	GH18	3
XP_002583136.1	GT2_Chitin_synth_1(217-385)+GT2_Chitin_synth_2(362-566)	GT2(9)	GT2+2.4.1.16	3
XP_002583173.1	GT2_Chitin_synth_1(205-368)+GT2_Chitin_synth_2(346-554)	GT2(2)	GT2+2.4.1.16	3
XP_002583174.1	GT69(56-313)	GT69(2)	GT69	3
XP_002583333.1	GH16(271-587)	GH16(5)	GH16	3
XP_002583366.1	CBM21(183-293)	CBM21(4)	-	2
XP_002583405.1	GH132(126-411)	GH132(3)	GH132	3
XP_002583406.1	GT8(156-421)	GT8(69)	GT8	3
