Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_014550143.1	GH43_14(21-310)	GH43(96)	GH43_14	3
XP_014550171.1	PL26(23-913)	PL26(1)	PL26	3
XP_014550271.1	GH3(135-349)	GH3(63)+CBM1(30)	GH3	3
XP_014550280.1	CE4(44-167)	CE4(143)+CBM18(7)	CE4	3
XP_014550288.1	GH29(153-525)	GH29(30)	GH29	3
XP_014550292.1	GH30_7(29-449)	GH30(13)	GH30_7	3
XP_014550296.1	GH43_13(20-314)	GH43(25)	GH43_13	3
XP_014550316.1	AA7(305-514)	-	-	1
XP_014550348.1	CE1(5-318)	-	-	1
XP_014550367.1	CE3(37-232)	-	-	1
XP_014550451.1	AA11(65-201)	-	-	1
XP_014550478.1	GH7(20-407)	GH7(5)	GH7	3
XP_014550481.1	AA3_2(14-579)	AA3(16)	AA3_2	3
XP_014550555.1	GH31(232-718)	GH31(24)	GH31	3
XP_014550577.1	GH15(350-726)	GH15(27)	GH15	3
XP_014550604.1	GH5_31(2-159)	-	-	1
XP_014550632.1	CE10(108-238)	-	-	1
XP_014550633.1	GH92(355-883)	GH92(28)	GH92	3
XP_014550637.1	GT8(187-414)	-	-	1
XP_014550646.1	GH1(4-474)	GH1(55)	GH1	3
XP_014550707.1	AA7(32-239)	-	-	1
XP_014550718.1	GH3(101-319)	GH3(13)+CBM1(30)	GH3	3
XP_014550730.1	GH135(3-252)	GH135(7)	GH135	3
XP_014550743.1	GT71(142-376)	GT71(7)	GT71	3
XP_014550745.1	GT21(65-392)	GT21(11)	GT21	3
XP_014550747.1	CE16(40-331)	CE0(16)	-	2
XP_014550757.1	GT3(15-651)	GT3(1)	GT3	3
XP_014550828.1	AA7(133-312)	-	-	1
XP_014550842.1	AA7(95-293)	-	-	1
XP_014550865.1	GH17(83-325)	-	GH17	2
XP_014550938.1	CE9(8-392)	-	CE9	2
XP_014550970.1	CE10(96-255)	-	-	1
XP_014551009.1	GT2_Chitin_synth_2(301-519)	-	GT2	2
XP_014551011.1	CE4(39-157)	-	-	1
XP_014551014.1	AA9(1-215)	AA9(8)+CBM18(16)	AA9	3
XP_014551022.1	AA7(45-490)	-	-	1
XP_014551036.1	GH7(19-411)	GH7(5)+CBM1(9)	GH7	3
XP_014551055.1	AA9(5-204)	-	-	1
XP_014551119.1	GH62(37-325)	GH62(2)+CBM2(69)	GH62	3
XP_014551126.1	AA6(4-201)	AA6(1)	AA6	3
XP_014551161.1	GH54(23-338)+CBM42(358-497)	GH54(1)+CBM13(36)+CBM42(1)	CBM42+GH54+3.2.1.55	3
XP_014551168.1	AA7(60-274)	AA7(2)+CBM18(20)	AA7+CBM18	3
XP_014551205.1	GH5_22(56-346)	GH5(60)	GH5_22+3.2.1.4	3
XP_014551218.1	GT4(213-350)	GT4(169)	GT4	3
XP_014551289.1	GT1(195-537)	GT1(76)	GT1	3
XP_014551290.1	GH10(40-323)	GH10(12)	GH10	3
XP_014551314.1	GH78(79-637)	GH78(13)	GH78	3
XP_014551324.1	GH2(20-683)	GH2(47)	GH2	3
XP_014551341.1	GH114(78-273)	GH114(3)	GH114	3
XP_014551365.1	AA16(20-185)	-	-	1
XP_014551378.1	PL1_9(71-252)	PL1(15)	PL1_9	3
XP_014551405.1	GH5_7(75-431)	-	GH5_7	2
XP_014551473.1	GH18(1-348)	GH18(45)+CBM12(6)+CBM18(6)	CBM18+GH18	3
XP_014551487.1	AA11(39-212)	-	-	1
XP_014551536.1	GT1(912-1324)	GT1(7)	GT1+2.4.1.173	3
XP_014551541.1	GH43_26(28-347)	GH43(125)	GH43_26	3
XP_014551561.1	GH43_13(9-308)	GH43(109)	GH43_13	3
XP_014551571.1	GT39(65-303)	GT39(3)	GT39	3
XP_014551589.1	AA3_2(19-618)	AA3(2)	AA3_2	3
XP_014551597.1	GH28(47-370)	GH28(3)	GH28	3
XP_014551603.1	GH3(102-324)	GH3(13)+CBM1(30)	GH3	3
XP_014551638.1	CE1(23-283)	-	-	1
XP_014551675.1	AA11(8-194)	AA11(1)	-	2
XP_014551743.1	CE5(77-249)	CE5(18)	CE5	3
XP_014551755.1	CE10(121-261)	-	-	1
XP_014551762.1	GH17(15-261)	-	GH17	2
XP_014551810.1	CE1(34-229)	-	CE1	2
XP_014551816.1	CE10(13-271)	-	-	1
XP_014551824.1	AA5_2(152-689)	AA5(6)+CBM32(35)	AA5_2	3
XP_014551841.1	AA3_2(49-676)	AA3(6)	AA3	3
XP_014551854.1	CE4(45-149)	-	-	1
XP_014551865.1	GH3(71-279)	GH3(13)+CBM1(30)	GH3	3
XP_014551882.1	CE1(34-216)	CE1(9)+CBM2(17)	CE1	3
XP_014551930.1	GH43_6(31-317)	-	GH43_6	2
XP_014551945.1	GH78(255-637)	GH78(13)	GH78+3.2.1.40	3
XP_014551955.1	AA9(6-223)	AA9(16)	AA9	3
XP_014551958.1	AA9(11-222)	AA9(9)	AA9	3
XP_014551979.1	CE5(30-231)	-	-	1
XP_014552016.1	GH47(78-566)	GH47(2)	GH47	3
XP_014552018.1	AA9(7-222)	AA9(9)	-	2
XP_014552024.1	CBM35(23-138)+GH26(153-454)	GH26(3)+CBM10(3)+CBM3(7)+CBM35(3)	CBM35+GH26	3
XP_014552057.1	GH115(20-601)	GH115(1)	GH115	3
XP_014552112.1	AA7(125-325)	AA7(2)+CBM18(20)	AA7+CBM18	3
XP_014552121.1	GH17(54-293)	GH17(19)	GH17	3
XP_014552143.1	PL1_7(74-254)	PL1(16)	PL1_7	3
XP_014552156.1	CE4(146-273)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_014552170.1	AA2(109-344)	AA2(4)	AA2	3
XP_014552181.1	AA7(93-521)	-	-	1
XP_014552207.1	AA7(56-488)	-	-	1
XP_014552241.1	GT2_Chitin_synth_2(223-440)	-	GT2	2
XP_014552304.1	GH16(95-306)	-	GH16	2
XP_014552329.1	AA3_2(38-614)	-	AA3_2	2
XP_014552331.1	AA7(56-272)	-	-	1
XP_014552336.1	CE4(140-266)	CE4(143)+CBM18(7)	CBM18+CE4	3
XP_014552338.1	AA2(32-256)	-	-	1
XP_014552344.1	GH76(63-447)	GH76(6)	GH76	3
XP_014552419.1	GH11(50-227)	GH11(10)+CBM10(5)+CBM2(2)+CBM6(17)+CBM60(1)	GH11	3
XP_014552421.1	CBM21(309-416)	CBM21(4)	CBM21	3
XP_014552433.1	CE10(119-270)	-	-	1
XP_014552468.1	AA2(81-324)	-	-	1
XP_014552470.1	GH45(24-224)	GH45(1)+CBM1(6)	-	2
XP_014552477.1	AA3_2(24-632)	AA3(6)	AA3	3
XP_014552484.1	GH16(385-621)	-	GH16	2
XP_014552529.1	AA4(80-317)	-	-	1
XP_014552545.1	GT2_Chitin_synth_1(213-381)+GT2_Chitin_synth_2(358-593)	GT2(9)	GT2	3
XP_014552558.1	GH154(14-374)	GH154(12)	GH154	3
XP_014552606.1	GH16(82-403)	GH16(37)	GH16	3
XP_014552616.1	GH131(1-139)+GH131(179-284)	-	-	1
XP_014552644.1	CE5(15-182)	CE5(24)	CE5	3
XP_014552682.1	AA7(39-463)	-	-	1
XP_014552693.1	PL1_4(122-307)	PL1(21)	PL1_4	3
XP_014552754.1	GH128(57-282)	-	-	1
XP_014552762.1	AA9(8-218)	AA9(13)+CBM1(38)	-	2
XP_014552778.1	GH16(76-312)	GH16(53)	GH16	3
XP_014552791.1	GT8(19-281)	GT8(69)	GT8	3
XP_014552793.1	GT22(13-255)	GT22(1)	GT22	3
XP_014552871.1	CE10(130-371)	-	-	1
XP_014552941.1	GT2_Glyco_tranf_2_3(54-287)	-	GT2	2
XP_014552959.1	GT8(7-222)	GT8(34)	GT8	3
XP_014552987.1	GH5_15(87-401)	GH5(134)	GH5_15	3
XP_014552999.1	AA7(119-540)	-	-	1
XP_014553028.1	CE15(41-361)	CE15(2)+CBM1(20)	CE15	3
XP_014553039.1	CE16(32-339)	CE16(2)	CE16	3
XP_014553065.1	GH47(128-637)	GH47(2)	GH47	3
XP_014553094.1	GH105(36-368)	GH105(20)	GH105	3
XP_014553096.1	AA3_2(23-605)	AA3(3)	AA3_2	3
XP_014553135.1	AA7(55-294)	-	-	1
XP_014553142.1	AA7(190-377)	-	-	1
XP_014553161.1	GH16(109-285)	-	GH16	2
XP_014553226.1	GT34(72-282)	-	GT34	2
XP_014553269.1	CE10(155-316)	-	-	1
XP_014553281.1	GH5_16(39-370)	GH5(133)	GH5_16	3
XP_014553282.1	GH88(66-399)	GH88(11)	GH88	3
XP_014553364.1	GH18(72-413)	-	CBM18+GH18	2
XP_014553365.1	AA7(29-210)	-	-	1
XP_014553366.1	GH11(51-226)	CE4(45)+GH11(2)+CBM1(4)+CBM10(5)+CBM6(17)+CBM60(1)	GH11+3.2.1.8	3
XP_014553379.1	GH13_5(39-377)	GH13(23)	GH13_5	3
XP_014553389.1	GH128(53-294)	GH128(12)	GH128	3
XP_014553414.1	AA3_3(5-640)	AA3(4)	AA3_3+1.1.3.13	3
XP_014553422.1	AA9(3-225)	AA9(6)+CBM1(12)	AA9	3
XP_014553425.1	GH125(72-498)	GH125(2)	GH125	3
XP_014553430.1	GH11(43-212)	GH11(15)	GH11+3.2.1.8	3
XP_014553439.1	AA1_3(75-373)	AA1(5)	AA1_3	3
XP_014553459.1	GH131(20-260)	GH131(1)+CBM1(21)	GH131	3
XP_014553554.1	CE4(240-390)	-	-	1
XP_014553555.1	CE1(49-182)	CE1(25)+CBM2(29)	CBM13+CE1	3
XP_014553606.1	AA2(104-356)	-	-	1
XP_014553629.1	GH81(73-773)	GH81(1)	GH81	3
XP_014553640.1	GH5_5(31-326)	GH5(81)+CBM1(8)	CBM1+GH5_5	3
XP_014553682.1	GH31(323-879)	GH31(35)	GH31	3
XP_014553704.1	GH109(11-132)	-	-	1
XP_014553705.1	GH10(123-420)	GH10(4)+CBM1(2)+CBM2(23)	CBM1+GH10	3
XP_014553715.1	CE10(35-341)	-	-	1
XP_014553718.1	AA8(26-557)	AA3(10)+AA8(1)+CBM1(10)	AA3_1	3
