Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
EMR61264.1	AA1_3(52-359)	AA1(12)	AA1_3	3
EMR61287.1	GH128(201-418)	-	-	1
EMR61290.1	AA9(7-132)	-	-	1
EMR61330.1	GT62(178-338)	-	-	1
EMR61338.1	CE8(29-304)	CE8(20)	CE8	3
EMR61361.1	GH72(16-293)	GH72(4)	GH72	3
EMR61362.1	GH6(69-367)	GH6(14)	GH6	3
EMR61442.1	GH18(33-257)	-	-	1
EMR61459.1	AA9(11-245)	AA9(8)+CBM18(16)	AA9+CBM18	3
EMR61484.1	AA3_2(13-542)	AA3(9)	AA3_2	3
EMR61516.1	AA11(19-220)	-	-	1
EMR61529.1	GH16(80-226)	GH16(22)	GH16	3
EMR61563.1	GH38(285-542)	GH38(5)	GH38	3
EMR61583.1	PL1_4(112-300)	PL1(13)	PL1_4	3
EMR61601.1	GT2_Glycos_transf_2(13-182)	GT2(122)	GT2+2.4.1.83	3
EMR61604.1	CE10(71-337)	-	-	1
EMR61609.1	GH10(105-400)	GH10(4)+CBM1(2)+CBM2(23)	GH10	3
EMR61662.1	AA2(10-196)	AA0(2)	AA0	3
EMR61739.1	CE5(53-227)	-	-	1
EMR61759.1	GH5_4(63-258)	GH5(108)+CBM1(42)	GH5_4	3
EMR61760.1	GT90(379-672)	GT90(3)	GT90	3
EMR61794.1	GT34(64-289)	GT34(5)	GT34	3
EMR61816.1	GT2_Chitin_synth_2(245-530)	-	GT2	2
EMR61887.1	AA9(10-242)	-	-	1
EMR61937.1	GT69(99-386)	GT69(4)	GT69	3
EMR61950.1	AA3_2(68-521)	AA3(28)	AA3_2	3
EMR61956.1	AA9(7-218)	-	AA9+CBM1	2
EMR61961.1	GH92(282-770)	GH92(14)	GH92	3
EMR61986.1	AA9(11-231)	AA9(22)	AA9	3
EMR62000.1	CE15(45-366)	CE15(2)+CBM1(20)	CE15	3
EMR62006.1	GT20(239-666)	GT20(4)	GT20	3
EMR62012.1	CE3(25-222)	CE3(3)	-	2
EMR62016.1	AA3(49-712)	AA3(6)	AA3	3
EMR62033.1	GT2_Chitin_synth_2(546-1069)	GT2(161)	GT2	3
EMR62055.1	AA2(94-344)	-	-	1
EMR62066.1	AA3_1(223-442)+AA3_1(462-745)	-	AA3_1	2
EMR62131.1	GH12(105-253)	GH12(7)+CBM1(36)	-	2
EMR62133.1	GT55(8-299)	GT55(2)	GT55	3
EMR62159.1	GH43_34(31-312)	GH43(102)	GH43_34	3
EMR62165.1	GH47(76-377)	GH47(1)	GH47	3
EMR62175.1	GH76(32-394)	GH76(7)	GH76	3
EMR62200.1	AA9(8-220)	AA9(7)+CBM1(25)	-	2
EMR62253.1	GH18(21-223)	-	GH18	2
EMR62292.1	CE10(5-178)	-	-	1
EMR62294.1	GH131(22-261)	GH131(1)+CBM1(21)	GH131	3
EMR62357.1	AA7(28-212)	-	-	1
EMR62388.1	GH105(56-406)	GH105(20)	GH105	3
EMR62419.1	GH67(17-688)	GH67(3)	GH67	3
EMR62421.1	GH105(61-404)	-	GH105	2
EMR62429.1	GH16(63-242)	-	-	1
EMR62450.1	AA1_3(204-371)	AA1(32)	AA1_3	3
EMR62461.1	GT32(8-89)	GT32(54)	GT32	3
EMR62469.1	GT2_Chitin_synth_2(1208-1715)	GT2(161)	GT2	3
EMR62472.1	GT2_Chitin_synth_2(944-1451)	GT2(161)	GT2	3
EMR62482.1	GH18(41-451)	CBM12(11)+CBM5(9)	-	2
EMR62484.1	CE1(45-219)	CE1(10)+CBM2(29)	CE1	3
EMR62552.1	GH128(2-134)	-	-	1
EMR62561.1	GH43_24(17-253)	GH43(103)+CBM35(21)	CBM35+GH43_24	3
EMR62564.1	CE8(106-241)	CE8(24)	CE8	3
EMR62593.1	AA3_1(54-303)	AA3(18)	AA3_1	3
EMR62613.1	GH93(55-361)	GH93(1)	GH93	3
EMR62617.1	AA7(68-491)	-	-	1
EMR62627.1	CE10(75-303)	-	-	1
EMR62628.1	GH31(230-678)	GH31(4)	GH31	3
EMR62642.1	GH43_26(41-329)	GH43(94)+CBM35(17)	GH43_26	3
EMR62671.1	AA9(22-160)	-	-	1
EMR62673.1	GH45(22-219)	GH45(1)+CBM1(6)+CBM10(7)	CBM1+GH45	3
EMR62692.1	CE4(43-165)	-	CE4	2
EMR62709.1	GH43_22(61-278)+GH43_34(295-575)	GH43(16)	GH43_22+GH43_34	3
EMR62739.1	GT32(101-180)	GT32(71)	GT32	3
EMR62765.1	GH55(34-759)	GH55(5)	GH55+3.2.1.39	3
EMR62770.1	GH76(46-366)	-	GH76	2
EMR62775.1	GH55(30-781)	GH55(2)	GH55	3
EMR62803.1	GH31(378-826)	GH31(7)	GH31	3
EMR62805.1	GT1(76-437)	-	GT1	2
EMR62829.1	CE3(52-242)	CE3(6)	-	2
EMR62842.1	GT69(59-318)	GT69(2)	GT69	3
EMR62867.1	AA3_2(4-289)	AA3(24)	AA3_2	3
EMR62873.1	AA3_2(5-600)	AA3(26)	AA3_2	3
EMR62904.1	GT15(32-341)	GT15(3)	GT15	3
EMR62955.1	AA7(102-304)	-	-	1
EMR62962.1	GH18(16-344)	CBM18(12)	GH18	3
EMR62966.1	GH13_40(37-395)	GH13(82)	GH13_40	3
EMR62993.1	AA7(52-221)	-	-	1
EMR62998.1	GH2(43-685)	GH2(36)+CBM35(33)	GH2	3
EMR63020.1	GH20(188-532)	GH20(33)	GH20	3
EMR63023.1	AA9(5-233)	AA9(6)	AA9	3
EMR63073.1	AA3_2(37-647)	AA3(6)	AA3	3
EMR63110.1	CE10(43-283)	-	-	1
EMR63117.1	PL26(26-925)	PL26(1)	PL26	3
EMR63131.1	AA6(4-199)	AA6(2)	AA6	3
EMR63185.1	AA3_2(5-592)	-	AA3_2	2
EMR63203.1	CE1(40-191)	-	-	1
EMR63207.1	GT35(161-877)	GT35(1)	GT35	3
EMR63216.1	GH72(3-307)	-	-	1
EMR63240.1	GH1(109-554)	-	GH1+3.2.1.21	2
EMR63260.1	GT39(66-304)	GT39(3)	GT39	3
EMR63262.1	GH76(25-389)	-	GH76	2
EMR63275.1	GH18(25-253)	GH18(44)+CBM19(1)	-	2
EMR63285.1	AA9(1-147)	-	-	1
EMR63295.1	GH18(29-253)	GH18(92)+CBM1(13)+CBM19(1)	CBM1+GH18	3
EMR63302.1	GH79(97-435)	-	-	1
EMR63308.1	GH115(53-650)	GH115(1)	GH115	3
EMR63314.1	AA8(12-766)	AA3(10)+AA8(3)	AA3_1+AA8	3
EMR63343.1	GH28(80-412)	-	GH28	2
EMR63348.1	GH18(30-257)	GH18(45)+CBM18(6)	CBM18+GH18	3
EMR63395.1	GH43_25(43-145)+GH43_25(148-226)	-	CBM35+GH43_25	2
EMR63404.1	GH128(55-274)	GH128(8)	GH128	3
EMR63407.1	GH92(2-502)	GH92(9)	GH92	3
EMR63408.1	GH55(14-761)	GH55(2)	GH55	3
EMR63439.1	GH18(509-862)	GH18(102)+CBM18(5)	CBM18+GH18	3
EMR63450.1	CE10(101-350)	-	-	1
EMR63453.1	GT15(66-354)	GT15(3)	GT15	3
EMR63461.1	GT2_Glyco_tranf_2_3(62-319)	-	-	1
EMR63485.1	GH71(24-405)	-	-	1
EMR63492.1	GH128(64-289)	-	-	1
EMR63494.1	PL20(23-256)	PL20(1)	PL20	3
EMR63504.1	CE10(28-203)	-	-	1
EMR63512.1	GH5_9(93-390)	GH5(5)	GH5_9	3
EMR63515.1	GH29(30-383)	GH29(1)+CBM32(30)	GH29	3
EMR63552.1	GH3(97-290)	GH3(13)+CBM1(30)	GH3	3
EMR63557.1	GH105(99-321)	-	-	1
EMR63578.1	GT2_Chitin_synth_2(128-482)	-	GT2	2
EMR63579.1	GH18(11-361)	-	GH18	2
EMR63585.1	GT62(82-324)	-	-	1
EMR63586.1	AA7(73-505)	-	-	1
EMR63597.1	GH16(72-221)	GH16(22)	GH16	3
EMR63607.1	GH72(22-146)	-	-	1
EMR63629.1	GH72(19-334)+CBM43(384-471)	GH72(2)+CBM43(12)	CBM43+GH72	3
EMR63658.1	GH43_26(24-310)	GH43(100)	GH43_26+3.2.1.55	3
EMR63678.1	AA2(27-249)	-	-	1
EMR63693.1	AA12(29-431)	AA12(1)	AA12	3
EMR63694.1	GH43_14(36-317)	GH43(96)	GH43_14	3
EMR63744.1	GT90(356-646)	GT90(3)	GT90	3
EMR63773.1	PL1_4(127-310)	PL1(13)	PL1_4	3
EMR63784.1	AA3(93-670)	-	-	1
EMR63796.1	CE1(23-282)	-	-	1
EMR63809.1	AA7(1-171)	-	-	1
EMR63850.1	GH71(25-410)+CBM24(458-512)	GH71(1)+CBM24(1)	CBM24+GH71	3
EMR63891.1	GH5_16(737-1074)	GH5(133)	GH5_16	3
EMR63893.1	GH16(71-309)	GH16(25)+CBM4(7)+CBM6(15)	GH16	3
EMR63895.1	GH72(29-347)	GH72(2)+CBM43(12)	CBM43+GH72	3
EMR63912.1	AA7(26-219)	-	-	1
EMR63924.1	PL1(80-247)	PL1(7)+CBM13(73)	PL1	3
EMR63940.1	GH43_6(41-357)	-	-	1
EMR63966.1	CE16(36-292)	CE0(16)	-	2
EMR63969.1	CE4(816-921)	-	-	1
EMR63988.1	GH7(23-416)	GH7(5)+CBM1(1)	GH7	3
EMR64028.1	GH43_36(5-175)	GH43(119)	GH43_36	3
EMR64088.1	AA16(18-191)	AA16(1)	-	2
EMR64110.1	GH1(2-467)	GH1(8)	GH1+3.2.1.21	3
EMR64136.1	GT20(159-615)	GT20(6)	GT20	3
EMR64147.1	GH43_34(53-334)+CBM66(354-519)	GH43(21)+CBM66(6)	CBM66+GH43_34	3
EMR64153.1	AA4(92-531)	AA4(1)	AA4	3
EMR64154.1	AA7(24-232)	-	-	1
EMR64165.1	CE4(65-162)	CE4(93)	-	2
EMR64170.1	GT59(168-413)	GT59(2)	-	2
EMR64211.1	CBM67(138-312)+GH78(340-863)	GH78(1)+CBM67(1)	GH78	3
EMR64221.1	PL4_3(220-597)	PL4(6)	PL4_3	3
EMR64222.1	GH76(25-383)	GH76(6)	GH76	3
EMR64236.1	GH51(204-645)	GH51(5)	GH51	3
EMR64281.1	AA3_2(8-411)	AA3(28)	AA3_2	3
EMR64284.1	GT2_Chitin_synth_1(174-336)	GT2(2)	GT2	3
EMR64287.1	PL3_2(30-215)	PL3(5)	PL3_2	3
EMR64298.1	GH76(40-372)	GH76(6)	GH76	3
EMR64328.1	AA3(19-503)	-	-	1
EMR64361.1	AA7(132-343)	-	-	1
EMR64393.1	AA7(44-258)	-	-	1
EMR64423.1	GH47(104-575)	GH47(2)	GH47	3
EMR64440.1	GH115(25-656)	GH115(4)	GH115	3
EMR64452.1	CE2(171-394)	CE0(9)	CE0	3
EMR64458.1	GH18(22-330)	GH18(20)+CBM12(6)+CBM5(14)+CBM55(1)	GH18	3
EMR64481.1	GT1(191-524)	-	GT1	2
EMR64491.1	GH43_26(6-205)	GH43(100)	GH43_26	3
EMR64494.1	CE12(31-245)	CE12(13)	CE12	3
EMR64497.1	AA1_2(41-376)	AA1(19)	AA1_2	3
EMR64505.1	GH31(255-696)	GH31(1)	GH31	3
EMR64512.1	CE10(89-381)	-	-	1
EMR64517.1	GH3(111-221)	GH3(41)	GH3	3
EMR64525.1	GH10(21-335)	GH10(19)+CBM1(2)+CBM2(23)+CBM22(2)+CBM9(1)	GH10	3
EMR64537.1	GH18(314-579)	GH18(102)+CBM18(5)	CBM18+GH18	3
EMR64541.1	CE10(62-341)	-	-	1
EMR64554.1	GH2(48-665)	GH2(36)	GH2	3
EMR64562.1	CE3(47-247)	CE3(11)	CE3	3
EMR64584.1	AA3(7-469)	-	AA3_2	2
EMR64612.1	CE15(23-340)	CE15(7)	CE15	3
EMR64626.1	GT4(327-461)	GT4(109)	GT4	3
EMR64658.1	GH16(83-236)	-	-	1
EMR64661.1	AA7(67-404)	-	-	1
EMR64681.1	GH5_12(1-427)	GH5(19)	GH5_12	3
EMR64682.1	AA7(129-578)	-	-	1
EMR64692.1	GH43_34(47-335)	GH43(21)+CBM66(6)	-	2
EMR64756.1	GH76(30-401)	GH76(7)	GH76	3
EMR64778.1	AA3_2(25-583)	-	-	1
EMR64788.1	AA3_2(2-347)	-	AA3_2	2
EMR64823.1	AA2(30-284)	-	-	1
EMR64861.1	AA9(9-229)	-	-	1
EMR64885.1	GH63(64-525)	GH0(2)	GH0	3
EMR64895.1	GH43_26(3-196)	-	-	1
EMR64906.1	GH43_26(95-301)	GH43(29)	GH43_26	3
EMR64939.1	AA1_3(55-360)	AA1(25)	AA1_3	3
EMR64948.1	GH125(44-454)	GH125(2)	GH125	3
EMR64985.1	AA1_2(41-373)	AA1(4)	AA1_2	3
EMR65005.1	AA7(60-234)	-	-	1
EMR65034.1	PL9_3(29-385)	PL9(8)	PL9_3	3
EMR65035.1	GH47(105-567)	GH47(2)	GH47	3
EMR65038.1	AA3_2(1-356)	-	-	1
EMR65040.1	CE10(132-304)	-	-	1
EMR65041.1	GH16(65-310)	GH16(25)+CBM6(15)	GH16	3
EMR65046.1	GH5_5(21-325)	GH5(22)	GH5_5+3.2.1.4	3
EMR65050.1	GH3(125-375)	GH3(22)	GH3	3
EMR65088.1	CE10(57-348)	-	-	1
EMR65095.1	GT62(64-328)	GT62(2)	GT62	3
EMR65144.1	GH3(2-127)	GH3(13)	GH3	3
EMR65170.1	AA7(8-423)	-	-	1
EMR65180.1	GH18(9-366)	GH18(20)	GH18	3
EMR65184.1	GH31(172-604)	GH31(6)	GH31	3
EMR65186.1	CE12(30-220)	CE12(14)	-	2
EMR65217.1	AA7(164-367)	-	-	1
EMR65220.1	GH2(48-505)	GH2(52)+CBM42(2)+CBM67(18)	GH2	3
EMR65234.1	GT22(1-250)	GT22(1)	GT22	3
EMR65276.1	GH3(32-245)	GH3(40)+CBM6(3)	GH3	3
EMR65305.1	GH17(195-437)	GH17(5)	-	2
EMR65317.1	GT48(853-1632)	GT48(1)	GT48	3
EMR65319.1	GT24(737-984)	GT24(1)	GT24	3
EMR65334.1	GH5_5(34-313)	GH5(125)+CBM1(5)	GH5_5	3
EMR65371.1	GH64(5-378)	GH64(5)+CBM6(29)	CBM6+GH64	3
EMR65408.1	GH43_36(41-308)	GH43(24)	GH43_36	3
EMR65433.1	AA16(21-186)	-	-	1
EMR65451.1	GH43_13(22-318)	GH43(27)	GH43_13	3
EMR65458.1	GH5_12(508-1029)	GH5(19)	GH5_12	3
EMR65496.1	CE10(67-346)	-	-	1
EMR65503.1	GT2_Glyco_trans_2_3(72-357)	-	-	1
EMR65508.1	GH2(4-738)	GH2(21)	GH2	3
EMR65512.1	AA7(18-219)	-	-	1
EMR65514.1	GT90(16-253)	GT90(17)	-	2
EMR65554.1	PL20(30-263)	PL20(1)	-	2
EMR65558.1	GT8(36-303)	-	GT8	2
EMR65563.1	GH64(57-458)	-	-	1
EMR65589.1	GT2_Chitin_synth_1(228-398)	GT2(9)	GT2	3
EMR65642.1	CE10(403-658)	-	-	1
EMR65651.1	AA8(8-764)	AA3(10)+AA8(3)	AA3_1+AA8	3
EMR65658.1	CBM21(234-338)	CBM21(4)	CBM21	3
EMR65692.1	PL3_2(31-220)	PL3(5)	PL3_2	3
EMR65728.1	GH13_25(1089-1539)	GH133(2)	GH13_25+GH133	3
EMR65746.1	AA3(21-620)	AA3(6)	AA3	3
EMR65756.1	GH47(248-1066)	GH47(2)	GH47	3
EMR65795.1	GH5_22(134-249)	-	GH5_22	2
EMR65806.1	GH28(73-425)	GH28(27)	GH28	3
EMR65809.1	CE10(35-373)	-	-	1
EMR65837.1	GH28(166-490)	-	GH28	2
EMR65839.1	GH62(29-302)	GH62(1)+CBM1(23)+CBM13(3)	GH62	3
EMR65861.1	GH37(56-642)	GH37(4)	GH37	3
EMR65866.1	GT17(71-365)	GT17(3)	GT17	3
EMR65867.1	GT66(30-681)	GT66(1)	GT66	3
