Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_007860210.1	CE10(64-305)	-	-	1
XP_007860301.1	CE4(209-323)	CE4(145)	CE4	3
XP_007860362.1	PL35(517-701)	PL35(3)	PL35	3
XP_007860442.1	GT90(386-642)	GT90(10)	GT90	3
XP_007860533.1	GH51(210-468)	GH51(25)	GH51+3.2.1.55	3
XP_007860552.1	GH152(26-171)	-	-	1
XP_007860567.1	GT2_Chitin_synth_2(502-1025)	GT2(161)	GT2	3
XP_007860578.1	CBM21(285-425)	-	-	1
XP_007860651.1	AA3_2(31-622)	AA3(20)	AA3_2	3
XP_007860672.1	GH47(101-582)	GH47(1)	GH47	3
XP_007860702.1	CE10(213-439)	-	-	1
XP_007860741.1	GT2_Chitin_synth_1(205-364)	GT2(9)	GT2	3
XP_007860784.1	GT22(58-534)	GT22(6)	GT22	3
XP_007860821.1	GT8(6-228)	GT8(34)	GT8	3
XP_007860852.1	GH5_9(87-393)	GH5(5)	GH5_9+3.2.1.58	3
XP_007860873.1	CE1(30-288)	-	-	1
XP_007860896.1	GH152(31-150)	-	-	1
XP_007860906.1	GT21(63-329)	GT21(13)	GT21	3
XP_007860958.1	CE10(16-268)	-	-	1
XP_007860997.1	AA7(135-564)	-	-	1
XP_007861024.1	CE10(73-317)	-	-	1
XP_007861042.1	GT8(5-264)	-	GT8	2
XP_007861076.1	GH5_7(66-377)	GH5(39)	GH5_7	3
XP_007861110.1	PL8(363-609)	-	PL8_4	2
XP_007861120.1	GH16(132-363)	-	GH16	2
XP_007861164.1	AA7(74-268)	-	-	1
XP_007861254.1	GH18(35-328)+CBM5(455-493)	GH18(44)+CBM1(13)+CBM19(1)	CBM5+GH18+3.2.1.14	3
XP_007861319.1	GT59(24-416)	GT59(1)	GT59	3
XP_007861349.1	GT1(877-1297)	GT1(7)	GT1	3
XP_007861351.1	GH72(25-343)	GH72(5)+CBM43(20)	CBM43+GH72	3
XP_007861368.1	GH16(160-444)	-	GH16	2
