Gene ID	HMMER	Hotpep	DIAMOND	#ofTools
XP_008031750.1	AA4(69-268)	-	-	1
XP_008031803.1	GH5_9(88-394)	GH5(5)	GH5_9+3.2.1.58	3
XP_008031813.1	CE1(31-288)	-	-	1
XP_008031893.1	GH16(148-429)	-	GH16	2
XP_008032013.1	GH16(67-317)	-	GH16+3.2.1.6	2
XP_008032017.1	GT3(19-633)	GT3(1)	GT3	3
XP_008032069.1	GH20(207-543)	GH20(74)	GH20	3
XP_008032075.1	CE10(80-293)	-	-	1
XP_008032184.1	PL4_3(20-626)	PL4(6)	PL4_3	3
XP_008032332.1	GH15(44-449)+CBM20(489-575)	GH15(14)+CBM20(5)	CBM20+GH15	3
XP_008032335.1	GH47(100-578)	GH47(1)	GH47	3
XP_008032364.1	GH5_5(71-351)	GH5(81)+CBM1(8)	CBM1+GH5_5	3
XP_008032395.1	GH74(79-190)	GH74(1)+CBM1(16)+CBM2(12)	CBM1+GH74	3
XP_008032400.1	GH3(77-276)	GH3(13)+CBM1(30)	CBM1+GH3+3.2.1.21+3.2.1.58	3
XP_008032410.1	GH78(66-618)	GH78(13)	GH78+3.2.1.40	3
XP_008032441.1	GH2(18-860)	GH2(46)	GH2	3
XP_008032446.1	CBM21(285-421)	-	-	1
XP_008032458.1	GT21(57-319)	GT21(13)	GT21	3
XP_008032477.1	GH131(19-253)	-	-	1
XP_008032494.1	AA9(8-220)	-	AA9	2
XP_008032569.1	GT2_Chitin_synth_2(670-1188)	GT2(161)	GT2	3
XP_008032571.1	GH31(300-843)	GH31(53)	GH31+GH31+3.2.1.20	3
XP_008032614.1	AA1_1(36-336)	AA1(2)	AA1_1+1.10.3.2	3
XP_008032615.1	GH3(74-324)	GH3(33)	GH3	3
XP_008032634.1	CE10(205-439)	-	-	1
XP_008032696.1	GT22(58-543)	GT22(2)	GT22	3
XP_008032721.1	GH7(20-456)	GH7(1)+CBM1(1)	GH7	3
XP_008032730.1	GT2_Chitin_synth_1(218-377)	GT2(9)	GT2	3
XP_008032737.1	AA1_1(35-335)	AA1(2)	AA1_1	3
XP_008032758.1	GH2(18-785)	-	GH2	2
XP_008032771.1	GH7(20-456)	GH7(1)+CBM1(1)	GH7	3
XP_008032792.1	GH20(178-504)	GH20(74)	GH20	3
XP_008032795.1	PL35(522-707)	PL35(3)	PL35	3
XP_008032803.1	PL35(500-683)	PL35(3)	PL35	3
XP_008032822.1	GT8(8-228)	GT8(34)	GT8	3
XP_008032851.1	CE8(32-294)	CE8(20)	CE8	3
XP_008032880.1	GH5_7(68-379)	-	GH5_7	2
XP_008032937.1	GH5_9(207-516)	GH5(20)	GH5_9	3
XP_008032957.1	GH18(35-319)	GH18(92)+CBM1(13)	CBM5+GH18+3.2.1.14	3
XP_008032968.1	CE4(208-324)	CE4(145)	CE4	3
XP_008032969.1	GH72(266-583)	GH72(5)+CBM43(20)	CBM43+GH72	3
XP_008032970.1	GT1(963-1382)	GT1(7)	GT1	3
XP_008032998.1	CE10(67-327)	-	-	1
XP_008033048.1	PL30(366-615)+PL8(514-764)	-	PL8_4	2
